[Wed Aug  6 03:17:19 2025] Simulating terminal 'nfc' | SENT: 80CA9F7F
[Wed Aug  6 03:17:23 2025] Simulating terminal 'nfc' | SENT: 00A40400
[Wed Aug  6 03:17:23 2025] Simulating terminal 'nfc' | RECV: 9000
[Wed Aug  6 03:17:23 2025] Simulating terminal 'nfc' | SENT: 80CA9F7F
[Wed Aug  6 03:17:23 2025] Simulating terminal 'nfc' | RECV: 9000
[Wed Aug  6 03:17:23 2025] Simulating terminal 'nfc' | SENT: 80CA9F7F
[Wed Aug  6 03:17:23 2025] Simulating terminal 'nfc' | RECV: 9000
[Wed Aug  6 03:17:24 2025] Simulating terminal 'nfc' | SENT: 80CA9F7F
[Wed Aug  6 03:17:24 2025] Simulating terminal 'nfc' | RECV: 9000
[Wed Aug  6 03:17:24 2025] Simulating terminal 'nfc' | SENT: 80CA9F7F
[Wed Aug  6 03:17:24 2025] Simulating terminal 'nfc' | RECV: 9000
[Wed Aug  6 03:17:24 2025] Simulating terminal 'smartcard' | SENT: 00B00000
[Wed Aug  6 03:17:25 2025] Simulating terminal 'smartcard' | RECV: 9000
[Wed Aug  6 03:17:25 2025] Simulating terminal 'smartcard' | SENT: 00D60000
[Wed Aug  6 03:17:25 2025] Simulating terminal 'smartcard' | RECV: 9000
[Wed Aug  6 03:17:25 2025] Simulating terminal 'smartcard' | SENT: 00B00000
[Wed Aug  6 03:17:25 2025] Simulating terminal 'smartcard' | RECV: 9000
[Wed Aug  6 03:17:26 2025] Simulating terminal 'smartcard' | SENT: 00B00000
[Wed Aug  6 03:17:26 2025] Simulating terminal 'smartcard' | RECV: 9000
[Wed Aug  6 03:17:26 2025] Simulating terminal 'smartcard' | SENT: 00B00000
[Wed Aug  6 03:17:26 2025] Simulating terminal 'smartcard' | RECV: 9000
[Wed Aug  6 03:17:26 2025] Simulating terminal 'smartcard' | SENT: 00D60000
[Wed Aug  6 03:17:26 2025] Simulating terminal 'smartcard' | RECV: 9000
[Wed Aug  6 03:17:27 2025] Simulating terminal 'smartcard' | SENT: 00B00000
[Wed Aug  6 03:17:27 2025] Simulating terminal 'smartcard' | RECV: 9000
[Wed Aug  6 03:17:27 2025] Simulating terminal 'smartcard' | SENT: 00D60000
[Wed Aug  6 03:17:27 2025] Simulating terminal 'smartcard' | RECV: 9000
[Wed Aug  6 03:17:28 2025] Simulating terminal 'smartcard' | SENT: 00D60000
[Wed Aug  6 03:17:28 2025] Simulating terminal 'smartcard' | RECV: 9000
[Wed Aug  6 03:17:28 2025] Simulating terminal 'smartcard' | SENT: 00D60000
[Wed Aug  6 03:17:28 2025] Simulating terminal 'smartcard' | RECV: 9000
[Wed Aug  6 03:17:28 2025] Simulating terminal 'smartcard' | SENT: 00D60000
[Wed Aug  6 03:17:28 2025] Simulating terminal 'smartcard' | RECV: 9000
[Wed Aug  6 03:17:28 2025] Simulating terminal 'smartcard' | SENT: 00D60000
[Wed Aug  6 03:17:28 2025] Simulating terminal 'smartcard' | RECV: 9000
[Wed Aug  6 03:17:29 2025] Simulating terminal 'smartcard' | SENT: 00D60000
[Wed Aug  6 03:17:29 2025] Simulating terminal 'smartcard' | RECV: 9000
[Wed Aug  6 03:17:29 2025] Simulating terminal 'smartcard' | SENT: 00B00000
[Wed Aug  6 03:17:29 2025] Simulating terminal 'smartcard' | RECV: 9000
[Wed Aug  6 03:17:29 2025] Simulating terminal 'smartcard' | SENT: 00D60000
[Wed Aug  6 03:17:29 2025] Simulating terminal 'smartcard' | RECV: 9000
[Wed Aug  6 03:17:32 2025] Simulating terminal 'nfc' | SENT: 00A40400
[Wed Aug  6 03:17:32 2025] Simulating terminal 'nfc' | RECV: 9000
[Wed Aug  6 03:17:32 2025] Simulating terminal 'smartcard' | SENT: 00B00000
[Wed Aug  6 03:17:32 2025] Simulating terminal 'smartcard' | RECV: 9000
[Wed Aug  6 04:58:54 2025] Simulating terminal 'nfc' | SENT: 80CA9F7F
[Wed Aug  6 04:58:54 2025] Simulating terminal 'nfc' | RECV: 9000
[Wed Aug  6 04:58:54 2025] Simulating terminal 'nfc' | SENT: 00A40400
[Wed Aug  6 04:58:54 2025] Simulating terminal 'nfc' | RECV: 9000
[Wed Aug  6 04:58:54 2025] Simulating terminal 'nfc' | SENT: 80CA9F7F
[Wed Aug  6 04:58:54 2025] Simulating terminal 'nfc' | RECV: 9000
[Wed Aug  6 04:58:55 2025] Simulating terminal 'nfc' | SENT: 00A40400
[Wed Aug  6 04:58:55 2025] Simulating terminal 'nfc' | RECV: 9000
[Wed Aug  6 04:58:55 2025] Simulating terminal 'nfc' | SENT: 00A40400
[Wed Aug  6 04:58:55 2025] Simulating terminal 'nfc' | RECV: 9000
[Wed Aug  6 04:58:55 2025] Simulating terminal 'nfc' | SENT: 80CA9F7F
[Wed Aug  6 04:58:55 2025] Simulating terminal 'nfc' | RECV: 9000
[Wed Aug  6 04:58:56 2025] Simulating terminal 'nfc' | SENT: 80CA9F7F
[Wed Aug  6 04:58:56 2025] Simulating terminal 'nfc' | RECV: 9000
[Wed Aug  6 04:58:56 2025] Simulating terminal 'nfc' | SENT: 00A40400
[Wed Aug  6 04:58:56 2025] Simulating terminal 'nfc' | RECV: 9000
[Wed Aug  6 04:58:56 2025] Simulating terminal 'nfc' | SENT: 00A40400
[Wed Aug  6 04:58:56 2025] Simulating terminal 'nfc' | RECV: 9000
[Wed Aug  6 04:58:56 2025] Simulating terminal 'nfc' | SENT: 80CA9F7F
[Wed Aug  6 04:58:56 2025] Simulating terminal 'nfc' | RECV: 9000
[Wed Aug  6 04:58:57 2025] Simulating terminal 'nfc' | SENT: 80CA9F7F
[Wed Aug  6 04:58:57 2025] Simulating terminal 'nfc' | RECV: 9000
[Wed Aug  6 04:58:57 2025] Simulating terminal 'nfc' | SENT: 80CA9F7F
[Wed Aug  6 04:58:57 2025] Simulating terminal 'nfc' | RECV: 9000
[Wed Aug  6 04:58:57 2025] Simulating terminal 'nfc' | SENT: 00A40400
[Wed Aug  6 04:58:57 2025] Simulating terminal 'nfc' | RECV: 9000
[Wed Aug  6 04:58:57 2025] Simulating terminal 'nfc' | SENT: 80CA9F7F
[Wed Aug  6 04:58:57 2025] Simulating terminal 'nfc' | RECV: 9000
[Wed Aug  6 04:58:58 2025] Simulating terminal 'nfc' | SENT: 00A40400
[Wed Aug  6 04:58:58 2025] Simulating terminal 'nfc' | RECV: 9000
[Wed Aug  6 04:58:58 2025] Simulating terminal 'nfc' | SENT: 80CA9F7F
[Wed Aug  6 04:58:58 2025] Simulating terminal 'nfc' | RECV: 9000
[Wed Aug  6 04:58:58 2025] Simulating terminal 'nfc' | SENT: 80CA9F7F
[Wed Aug  6 04:58:58 2025] Simulating terminal 'nfc' | RECV: 9000
[Wed Aug  6 04:58:59 2025] Simulating terminal 'smartcard' | SENT: 00D60000
[Wed Aug  6 04:58:59 2025] Simulating terminal 'smartcard' | RECV: 9000
[Wed Aug  6 04:58:59 2025] Simulating terminal 'smartcard' | SENT: 00B00000
[Wed Aug  6 04:58:59 2025] Simulating terminal 'smartcard' | RECV: 9000
[Wed Aug  6 04:58:59 2025] Simulating terminal 'smartcard' | SENT: 00D60000
[Wed Aug  6 04:58:59 2025] Simulating terminal 'smartcard' | RECV: 9000
[Wed Aug  6 04:58:59 2025] Simulating terminal 'smartcard' | SENT: 00D60000
[Wed Aug  6 04:58:59 2025] Simulating terminal 'smartcard' | RECV: 9000
[Wed Aug  6 04:59:00 2025] Simulating terminal 'smartcard' | SENT: 00D60000
[Wed Aug  6 04:59:00 2025] Simulating terminal 'smartcard' | RECV: 9000
[Wed Aug  6 04:59:00 2025] Simulating terminal 'smartcard' | SENT: 00D60000
[Wed Aug  6 04:59:00 2025] Simulating terminal 'smartcard' | RECV: 9000
[Wed Aug  6 04:59:00 2025] Simulating terminal 'smartcard' | SENT: 00B00000
[Wed Aug  6 04:59:00 2025] Simulating terminal 'smartcard' | RECV: 9000
[Wed Aug  6 04:59:01 2025] Simulating terminal 'smartcard' | SENT: 00D60000
[Wed Aug  6 04:59:01 2025] Simulating terminal 'smartcard' | RECV: 9000
[Wed Aug  6 04:59:01 2025] Simulating terminal 'smartcard' | SENT: 00B00000
[Wed Aug  6 04:59:01 2025] Simulating terminal 'smartcard' | RECV: 9000
[Wed Aug  6 04:59:01 2025] Simulating terminal 'smartcard' | SENT: 00B00000
[Wed Aug  6 04:59:01 2025] Simulating terminal 'smartcard' | RECV: 9000
[Wed Aug  6 04:59:01 2025] Simulating terminal 'smartcard' | SENT: 00D60000
[Wed Aug  6 04:59:01 2025] Simulating terminal 'smartcard' | RECV: 9000
[Wed Aug  6 04:59:02 2025] Simulating terminal 'smartcard' | SENT: 00D60000
[Wed Aug  6 04:59:02 2025] Simulating terminal 'smartcard' | RECV: 9000
[Wed Aug  6 04:59:02 2025] Simulating terminal 'smartcard' | SENT: 00D60000
[Wed Aug  6 04:59:02 2025] Simulating terminal 'smartcard' | RECV: 9000
[Wed Aug  6 04:59:02 2025] Simulating terminal 'smartcard' | SENT: 00B00000
[Wed Aug  6 04:59:02 2025] Simulating terminal 'smartcard' | RECV: 9000
[Wed Aug  6 04:59:03 2025] Simulating terminal 'smartcard' | SENT: 00D60000
[Wed Aug  6 04:59:03 2025] Simulating terminal 'smartcard' | RECV: 9000
[Wed Aug  6 04:59:03 2025] Simulating terminal 'smartcard' | SENT: 00D60000
[Wed Aug  6 04:59:03 2025] Simulating terminal 'smartcard' | RECV: 9000
[Wed Aug  6 04:59:04 2025] Simulating terminal 'smartcard' | SENT: 00B00000
[Wed Aug  6 04:59:04 2025] Simulating terminal 'smartcard' | RECV: 9000
[Wed Aug  6 04:59:04 2025] Simulating terminal 'smartcard' | SENT: 00D60000
[Wed Aug  6 04:59:04 2025] Simulating terminal 'smartcard' | RECV: 9000
[Wed Aug  6 04:59:06 2025] Simulating terminal 'nfc' | SENT: 00A40400
[Wed Aug  6 04:59:06 2025] Simulating terminal 'nfc' | RECV: 9000
[Wed Aug  6 04:59:06 2025] Simulating terminal 'smartcard' | SENT: 00B00000
[Wed Aug  6 04:59:06 2025] Simulating terminal 'smartcard' | RECV: 9000
